1,1
2,5
3,7
4,11
5,4
6,9
7,9
8,6
9,9
10,5
11,6
12,9
13,6
14,5
15,7
16,10
17,5
18,8
19,8
20,8
21,5
22,8
23,4
24,8
25,9
26,8
27,7
28,7
29,6
30,7
31,8
32,10
33,7
34,10
35,8
36,4
37,8
38,9
39,10
40,5
41,6
42,7
43,5
44,10
45,4
46,8
47,9
48,6
49,8
50,9
51,8
52,9
53,7
54,6
55,8
56,5
57,9
58,5
59,8
60,5
61,6
62,7
63,9
64,7
65,11
66,7
67,8
68,4
69,7
70,9
71,6
72,7
73,5
74,6
75,6
76,8
77,7
78,7
79,4
80,8
81,6
82,6
83,9
84,9
85,7
86,3
87,9
88,6
89,13
90,7
91,6
92,6
93,6
94,10
95,10
96,4
97,6
98,8
99,5
100,7
